timestamp,exchange,period,instrument,base,quote,price
2022-11-04 13:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1617.1281104323
2022-11-04 13:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1615.52375498231
2022-11-04 14:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1612.05790069751
2022-11-04 14:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1623.06724813873
2022-11-04 14:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1656.29910990275
2022-11-04 14:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1659.96573621614
2022-11-04 15:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1658.7426475081
2022-11-04 15:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1656.6430789843
2022-11-04 15:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1650.15968413758
2022-11-04 15:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.24029689857
2022-11-04 16:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1633.24671896587
2022-11-04 16:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1617.98960935511
2022-11-04 16:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1623.71041738362
2022-11-04 16:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1621.99815558342
2022-11-04 17:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1619.17671256091
2022-11-04 17:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1619.40366090089
2022-11-04 17:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1620.97786018604
2022-11-04 17:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1618.82919193473
2022-11-04 18:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1625.30782428982
2022-11-04 18:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1620.7753994904
2022-11-04 18:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.59217915179
2022-11-04 18:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1638.2554730568
2022-11-04 19:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.55070007964
2022-11-04 19:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1643.60288676444
2022-11-04 19:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1639.30675269361
2022-11-04 19:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.92111493551
2022-11-04 20:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.6112181238
2022-11-04 20:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1646.31213501905
2022-11-04 20:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.80356151731
2022-11-04 20:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.71809364471
2022-11-04 21:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1645.27205235745
2022-11-04 21:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1643.57865897614
2022-11-04 21:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.66056764463
2022-11-04 21:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.92214411073
2022-11-04 22:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1648.54615488361
2022-11-04 22:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.92105122592
2022-11-04 22:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1650.70057335522
2022-11-04 22:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1651.17432666168
2022-11-04 23:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1651.13825415843
2022-11-04 23:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1649.19937164987
2022-11-04 23:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1645.89212089891
2022-11-04 23:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1644.04681747747
2022-11-05 00:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1643.97446031746
2022-11-05 00:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1640.42560760242
2022-11-05 00:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.5541334349
2022-11-05 00:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1655.69841433259
2022-11-05 01:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1659.42791208984
2022-11-05 01:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.96788713578
2022-11-05 01:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.95140749818
2022-11-05 01:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.56047153629
2022-11-05 02:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1650.86121346924
2022-11-05 02:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1653.83589296837
2022-11-05 02:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1651.58095664145
2022-11-05 02:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1649.97207768781
2022-11-05 03:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1648.20715589356
2022-11-05 03:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1649.5002344513
2022-11-05 03:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.37444999577
2022-11-05 03:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1645.53757804404
2022-11-05 04:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1645.62911761621
2022-11-05 04:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1648.54881234127
2022-11-05 04:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1649.2224504899
2022-11-05 04:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.41633960234
2022-11-05 05:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1646.61601454738
2022-11-05 05:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1645.60784021663
2022-11-05 05:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.29590054571
2022-11-05 05:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1648.90975941763
2022-11-05 06:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.66015979614
2022-11-05 06:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1650.24047628678
2022-11-05 06:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1654.31300606344
2022-11-05 06:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1655.62487368701
2022-11-05 07:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1653.69130030159
2022-11-05 07:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.90234908061
2022-11-05 07:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1653.5766061331
2022-11-05 07:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1651.12961968698
2022-11-05 08:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1652.27101456323
2022-11-05 08:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1648.67767422554
2022-11-05 08:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1644.96715898933
2022-11-05 08:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.39545159984
2022-11-05 09:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1643.30555545278
2022-11-05 09:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.49688359226
2022-11-05 09:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.75219297299
2022-11-05 09:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1639.01610103564
2022-11-05 10:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1638.76821113095
2022-11-05 10:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1640.9025291978
2022-11-05 10:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1640.14297801027
2022-11-05 10:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.05310701146
2022-11-05 11:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1640.93939603912
2022-11-05 11:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1644.79854856816
2022-11-05 11:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.56684810017
2022-11-05 11:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.03043775952
2022-11-05 12:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.76465748715
2022-11-05 12:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1647.00743583983
2022-11-05 12:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.74084894777
2022-11-05 12:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.4804830553
2022-11-05 13:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1642.93197804257
2022-11-05 13:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1643.21444573736
2022-11-05 13:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1638.03843068139
2022-11-05 13:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1635.15186219919
2022-11-05 14:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1636.1877614297
2022-11-05 14:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1637.94838010871
2022-11-05 14:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.22572962159
2022-11-05 14:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1628.82097332324
2022-11-05 15:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1627.68566165039
2022-11-05 15:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.21299724147
2022-11-05 15:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1635.65670449428
2022-11-05 15:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1638.52915966716
2022-11-05 16:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1636.09419388938
2022-11-05 16:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1637.66543950942
2022-11-05 16:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1640.69966972807
2022-11-05 16:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1641.13340547064
2022-11-05 17:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1638.94696471657
2022-11-05 17:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1633.89588826912
2022-11-05 17:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1635.51362563655
2022-11-05 17:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1635.4160193096
2022-11-05 18:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1636.37744983521
2022-11-05 18:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1635.58459208546
2022-11-05 18:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1633.45586544689
2022-11-05 18:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.21801867403
2022-11-05 19:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1627.745560673
2022-11-05 19:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.6691663259
2022-11-05 19:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.78342875498
2022-11-05 19:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1629.51612768247
2022-11-05 20:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.47034037966
